full_text,sentiment
"@hugouribev: @isamg6 @MOinternationa @petrogustavo Por eso @petrogustavo odia a los antioqueños, por eso tiene a @QuinteroCalle acabando…",0
"@maridelas18: Fueraaa, Petro de Medellín",0
"@MunozEnith: Medellín se lució hoy. El repudio a Petro,nos da esperanzas. 👏👏👏👏👏👏👏 https://t.co/7rvp2uza6B",0
"@isamg6: La historia contará que en Medellín se derrotó a Escobar, se revocó a Quintero y se le arrebató la presidencia a @petrogustavo…",0
"@funurbiano: Los del asalto a la fundidora de oro en Medellín, han debido llamar a @karenabudi @Diego_Molano y a Alberto Ratasquilla...y…",0
"@Don_Patriota1: Me acabo d enterar que al Senador del grupo narcoterrorista del M19; Gustavo Petro; fue echado de Medellín, por los pais…",0
@JoseMejiaCD: Abramos hilo de la abucheada tan bella que se ganó Petro en Medellín hace unos minutos: https://t.co/XiEs9eePIL,0
"@Leo_uribista: ‼️Hermoso…así fue tratado en su visita Gustavo Petro en la ciudad de Medellín‼️
https://t.co/t2I6Fs0GkQ",1
"@Nicols03804032: Hoy en el centro de Medellín, con Petro, gritamos la consigna que cada vez crece más en nuestro departamento: Antioquia…",1
"Me parece súper bien el rechazo a Petro en #Medellín , sin embargo lo más importante o lo único importante no es qué se le arengue en las calles, qué se le grite, qué se le insulte, obvio todo se lo merece y mucho más, la clave está en volverlo 💩 (lo que es) en las urnas.",0
@petrogustavo: Con el magisterio de Antioquia en Medellín. https://t.co/NFOYTxQvhV,1
"@Leo_uribista: ‼️-Terrorista!!!… le grita el pueblo de Medellín a Gustavo Petro, está es la verdadera encuesta!!‼️@GUSMALDONADOS https:/…",0
Qué tal el dictador Quintero Calle... por estar viendo “la casa de papel” tiene vuelta m...da Medellín.,0
"@FisicoImpuro: Petro en Medellín mueve más gente que la Cabal, Paloma Valencia, Fico Gutiérrez y Oscar Iván Zuluaga juntos.
#MedellinEst…",1
@NoticiasRCN hace reconocimiento a @SapienciaMed por su contribución a la Educación Postsecundaria en Medellín. 🎉 https://t.co/vS94o6bhHN,1
@anamarqr: ¡Fuera de Medellín! https://t.co/OPV5gqigRk,0
@RUBYELENA1: Así quieren a Petro en #Medellín. https://t.co/GPEoudmb2v,1
"@eljosequillero: @JoseMejiaCD No llegan ni a 5 pelagatos chiflando, saca a Uribe en Medellín para chiflarlo y que salgamos millones!!",0
"@MargaritaRepo @MaraClaudiaOrt1 Medellín empezó a cambiar, dejó de ser de los criminales.
Nunca más será de Pablo Escobar y Álvaro Uribe.",1
"@OscarOrtizE2: Abucheado el guerrillero Petro en Medellín, más tarde sale a decirnos paracos, ese es el uno o argumento que tiene el deg…",0
